content;doubleQuality
 Beim Waschen mit polnischen Produkten ist es das Gleiche, aber man kann auch sagen, dass man mit Pulver wäscht, Standard, wie uns die Deutschen betrügen; True
 Es gibt nichts Besseres als deutsche Qualität, ich kaufe regelmäßig.; True
 DEUTSCH, DUFTEND. ICH EMPFEHLE !!!; True
 Es scheint, dass das Pulver gut ist und nicht im Osten hergestellt wird, wie es in Geschäften in Polen der Fall ist.; True
 Die deutsche Chemie ist die beste.; True
 Echtes deutsches Pulver riecht großartig; True
 Entspricht zu 100% der Beschreibung und Qualität - Deutschkenntnisse....; True
 Besser als Polen. Was für ein deutsches Pulver gleichbedeutend mit gewaschener Kleidung ist. Mit einem kleinen Kind klappt das super. Sensibilisiert nicht.; True
Wie üblich westliche Qualität, die man schon beim ersten Mal sehen kann; True
 Gutes Pulver, deutsche Qualität. Die Verpackung reicht für lange Zeit.; True
 tolle Qualität... für den westlichen Markt; True
 Lässt sich gut waschen. Ich habe billigere deutsche Pulver aus anderen Käufen ausprobiert, aber keines davon entsprach meinen Erwartungen. Lieber extra bezahlen und dieses Pulver kaufen. Ich empfehle.; True
 Die besten Pulver von Niemchem; True
 funktioniert super und was für den deutschen Markt wichtig ist; True
 Pulver mit deutschem Etikett. Ich glaube nicht, dass ich noch mehr darüber schreiben muss. Ich empfehle; True
 Tolle deutsche Qualität; True
 Es lässt sich wie ein polnisches Produkt waschen, ist aber ein deutsches Produkt. Kurz gesagt, es ist kein Wahnsinn ... normalerweise riecht es nach Polnisch, aber es funktioniert besser. nichts Besonderes...; True
 Das Pulver hat einen spezifischen deutschen, sehr starken Geruch, der vielleicht nicht jedem passt, es ist sinnvoll, das polnische Äquivalent zu kaufen, der Geruch ist schwächer; True
Ich persönlich benutze es nicht, aber meine Großmutter ist begeistert von diesem Pulver, allerdings gekauft in Deutschland. Er sagt, dass es viel besser wäscht als das heimische Pulver. Für den Preis ist es wirklich gut. Ich habe 20 kg als Geschenk zum Frauentag gekauft und das Geschenk kam sehr gut an.; True
 Pulver gem. Beschreibung sollte deutsch sein, aber es wird in Polen hergestellt. Es ist bekannt, dass deutsche Originalprodukte oder Produkte für den deutschen Markt von besserer Qualität sind und polnische Produkte von schlechterer Qualität, selbst wenn sie von deutschen Unternehmen hergestellt werden.; True
 Trotz der Herstellung durch Clovin ist das Pulver etwas besser als normale heimische Serien; True
 Das Pulver ist definitiv nicht deutsch. Das ist eine Fälschung. Ich war sehr enttäuscht, weil es bei 40 oder 60 Grad nicht einmal die kleinsten Flecken abweist. Ich habe Geld in den Abfluss geworfen. Ich empfehle es nicht!; True
Pulver OK. Intensiver angenehmer Geruch. Lässt sich gut waschen, Kleidung riecht. Die deutsche Chemie war schon immer viel besser als unsere. Wenn man zwei Pulver von der gleichen Firma nimmt, deutsch und polnisch, sehen sie aus wie zwei verschiedene.; True
 Ich verwende dieses Pulver immer wieder und auch meine Schwiegermutter hat es getestet. Es funktioniert sehr gut. Viel besser als das tschechische Pulver, das ich früher bei Lidl gekauft habe. Es löst sich gut auf und hinterlässt keine Streifen oder Spuren. Ich empfehle es, es lohnt sich, es auszuprobieren.; True
 Ich habe es in der Tschechischen Republik gekauft, es ist besser als hier!; True
 Ich war mit Citrus Waschpulver immer sehr zufrieden, vor allem wegen des starken Zitrusduftes. Anscheinend wurde die Rezeptur mit der neuen Verpackung geändert. Der Deutsche riecht eher blumig und frisch. Was für eine Schande! Mir gefiel Polnisch besser.; True
Ich habe Persil in zwei Jahren fünfmal gekauft und könnte nicht zufriedener sein. Es ist anscheinend die gleiche deutsche Formel, die ich in Österreich verwendet habe, und sie reinigt besser als jedes amerikanische Waschmittel, das ich je verwendet habe.; True
 Ich kann Ihnen nur raten, wenn Sie das echte Produkt direkt in Deutschland kaufen, werden Sie wahrscheinlich herausfinden, was alle sagen, ist wahr. Dies ist wahrscheinlich das beste Waschmittel, das Sie bekommen können.; True
 Um Geld zu sparen, verwende ich amerikanisches Persil (nicht so effektiv wie deutsches, aber immer noch besser als Tide) und hebe deutsche Ressourcen für den letzten Ausweg auf.; True
 Als wir in Europa lebten, wurde ich von Persil abhängig. Erstaunliches Produkt. Jetzt verwende ich nur noch das Pulver, nicht das Flüssigwaschmittel, das in den USA verkauft wird. Eine kleine Menge reicht aus, um die Kleidung sauber zu halten und länger haltbar zu machen. Notwendig!!!; True
Deutsche Ingenieurskunst vom Feinsten. Ich werde nie wieder auf amerikanische Produkte zurückgreifen.; True
 Es ist das einzige Waschmittel, das wir in einer Frontlader-Waschmaschine verwenden. Uns wurde einmal gesagt, wir sollten nur Persil aus Europa verwenden, und das haben wir auch getan, sodass wir mit dem Waschmittel in unserer Waschmaschine kein Problem hatten.; True
 Das beste Waschmittel. Ich vermisse dieses Waschmittel, da ich ein Jahr im Ausland in Europa gelebt habe. Ich wünschte, wir hätten es hier, aber Nordamerikaner mögen keine qualitativ hochwertigen und dosierten Waschmittel. Würde es wieder kaufen, wenn es weniger als 100 $ kostet...; True
Sehr schlecht - ich habe diesen Artikel auf Empfehlung eines Freundes gekauft - ich liebe blaues Lenor ... aber dieses Waschmittel - erstens war die Verpackung beschädigt, zweitens - es riecht nicht! Ich bin sehr enttäuscht - meine beste Freundin schwört darauf ... und es riecht so, ich kaufe dieses Waschpulver in Tschechien ... Hauptsache, ich habe jetzt 130 Wäschen stinkendes Waschpulver ... Besser in Polen kaufen; True
 Ich verwende seit langem deutsche Persil-Pulver, sowohl für weiße als auch für farbige. Ich bin sehr zufrieden, die Kleidung riecht angenehm, ich verwende weniger Pulver in der Waschmaschine und die Sachen werden schön gewaschen. Ich kaufe große 9,5-kg-Packungen und sie halten sehr lange.; True
 Ich verwende auch deutsche Waschpulver, Waschgele und andere chemische Produkte aus Deutschland und bin mit deren Qualität sehr zufrieden.; True
Für in Polen hergestellte deutsche Pulver gelten polnische Normen, die sich von denen in Deutschland unterscheiden. Und hier liegt das Problem. Die Standards wären hier und da die gleichen – die Pulver wären von gleicher Qualität. In Polen sind Pulver noch schlimmer.; True
 Und deshalb haben die gleichen Marken in Polen und Deutschland eine unterschiedliche Zusammensetzung ... Wirklich polnische Pulver sind schlimmer. (Information eines Kollegen aus einem deutschen Chemiekonzern); True
 Wenn ich in Polen gekauftes Lenor oder Silan verwende, verspüre ich erst nach dem Waschen einen angenehmen Geruch. Wenn die Kleidung trocknet, riecht sie automatisch nicht mehr angenehm. Deshalb steige ich auf deutsche Produkte um!; True
 Ich habe einen Vergleich, weil 2 Chargen, die gestern gewaschen wurden, gerade getrocknet sind. Weiß in polnischem Persil und gefärbt in Deutsch, beide ohne Weichmacher. Die weißen haben fast keinen Geruch, die farbigen riechen intensiv wie nach Zugabe von Weichspüler. Auch deutsche Weichspüler duften länger und intensiver; True
Polnische Hausfrauen sind es gewohnt, das Pulver ungeachtet der Empfehlungen in einen vollen Tank der Waschmaschine zu füllen, weshalb wir schwächere Pulver herstellen.; True
 Meine Mutter hat mich überredet, deutsche Waschmittel zu kaufen, und die sind tatsächlich besser.; True
 Ich würde Ihr Problem als Placebo-Effekt bezeichnen. Überzeugen Sie sich weiterhin davon, dass die deutschen besser sind. Natürlich gibt es Produkte, die in Polen nicht erhältlich sind, aber es funktioniert auch andersherum.; True
 Die Produkte sind in der Tat unterschiedlich, ich habe 6 Jahre in Deutschland gelebt und dort deutsche Produkte verwendet, an die ich mich gewöhnt habe. Wenn ich in Polen bin und Dinge von genau derselben Firma kaufe, sehe ich wirklich die Unterschiede, die mir gefallen Polnische besser.; True
 Deutsche Pulver sind besser als polnische.; True
Sie lassen sich waschen und riechen besser, die deutschen natürlich, meine Sommerkleidung roch nach meiner Rückkehr aus Deutschland im Dezember immer noch nach Persil im Kleiderschrank.; True
 Kaufen Sie deutsches weißes Pulver, Sie werden einen weißeren Weißton kennen. Ich habe kürzlich eine Sprühflüssigkeit zum Reinigen des Badezimmers gekauft, sie heißt Viss, was wahrscheinlich das Äquivalent zu unserem CIF ist. Ich habe kein polnisches Mittel kennengelernt, das auf die gleiche Weise wirkt, Essig mit Wasser ist ganz gut.; True
 Polnische Ariels, aber die deutschen waschen am besten.; True
 Sie werden dem „polnischen“ Pulver, das in Spuren verwendet wird, nicht ein paar Milligramm einer sehr teuren Zutat hinzufügen, wodurch seine Herstellung viel billiger wird, aber leider beeinträchtigen diese Milligramm die Qualität.; True
 Für mich duftet Lenor (z.B. meine Lieblingsquelle aus dem Westen) lange und intensiv genug, auch nach dem Trocknen.; True
 Deutsches Pulver, z.B. 5 kg. ist viel wirksamer als das, was in Polen von der gleichen Firma und dem gleichen Gewicht verkauft wird.; True
Ich lebe in Deutschland und trage dort deutsche Kleidung. Jetzt bin ich in Polen und verwende Pulver „E“. nicht zu teuer und meiner Meinung nach sehr gut. wir müssen fördern. Du kennst deine... nicht.; True
 Deutsche Pulver enthalten mehr Waschmittel und weniger Kreide, da ihre Eigenschaften milder sind.; True
 Wenn es um deutsche Puder geht, gibt es einen Unterschied im Weißgrad (nicht so schlimm, seit sie diese angeblich konzentrierten Puder eingeführt haben) usw., aber leider lösen sie bei mir schreckliche Allergien aus, genau wie kosmetische Chemikalien wie Duschlotionen, also tue ich das nicht Sorge dich um sie.; True
 Westliche Pulver waschen besser.; True
 Ariel und Omo für den polnischen Markt sind Müll. Es gibt nichts Besseres als das polnische Ariel oder irgendein Waschpulver. Die besten sind deutsch, aber original.; True
 Ich sehe, dass Sie auch einen enormen Qualitätsunterschied zwischen polnischen und deutschen Waschpulvern festgestellt haben. Ab und zu beliefern mich meine Freunde, dann kaufen sie mir in Deutschland ein paar Pakete ab.; True
Einkäufe und Online-Shop, z.B bdsklep.pl Da gibt es deutsche Polieren. Vom Preis her ähnlich, aber von der Qualität her unvergleichlich, die Deutschen legen (leider) nach oben. Polnische Pulver sind „brilliert“ und hinterlassen offenbar deshalb Rückstände auf der Kleidung zu viel Pulverfüller; True
 Da sie immer stärker verdichtet waren als in Polen und die gleiche Menge Pulver wie im Polnischen, zum Beispiel Persil, eingossen, war der Effekt sichtbar. Jetzt haben wir sie noch besser.; True
 Aber ich habe gerade gehört, dass der Hersteller nicht nur einmal, sondern jetzt auch verschiedene Produktionslinien für einen bestimmten Markt hat. In Polen ist das Pulver billiger und daher schlechter als das deutsche Pendant. Ich werde nach Lidl und Waly suchen.; True
 Generell sind alle deutschen Pulver besser als unseres! Ich benutze Persil, Ariel und Dash. Sie sind großartig; True
 Ich verwende die polnische Farbe Ariel, kaufe sie aber auf meinem Heimatmarkt. Aber die deutschen sind tatsächlich viel besser; True
Ich kaufe das Pulver für 14 Euro (das sind etwa 55 PLN). Der Unterschied ist riesig ... ehhh, schade, dass ich nicht näher an der deutschen Grenze wohne ... das Pulver ist großartig, im Gegensatz zum heimischen; True
 Softlan Spülpulver und zum Geschirrspülen empfehle ich Acuta. natürlich alles deutsch; True
 Ich habe Bonux verwendet und es ist sehr gut, aber kürzlich bin ich auf deutsches Pulver von Lidl umgestiegen, viel billiger und besser.; True
 Ich verwende auch deutsche Waschpulver, Waschgele und andere chemische Produkte aus Deutschland und bin mit deren Qualität sehr zufrieden.; True
 Allegro ist voll von Angeboten für deutsche Pulver, die besser sind als polnische.; True
 Vor zwei Tagen habe ich auch Persil geöffnet und es gibt einen Unterschied, definitiv ein „+“ für das aus Deutschland.; True
 Polnische Pulver riechen angenehmer und sind effektiver, deutsche Entferner sind gegen Flecken nicht geeignet.; True
 Die besten kommen aus Österreich, sind aber original; True
 Für deutsche und westliche Verbraucher gelten völlig andere Maßstäbe als für die ehemaligen Demoluds und die ehemalige UdSSR. Ich kaufe in Polen keine Chemikalien.; True
Deutsche Pulver enthalten mehr Waschmittel und weniger Kreide, da ihre Eigenschaften milder sind. Polnische Pulver derselben Firma haben eine andere Zusammensetzung.; True
 Qualitativ unterscheidet es sich bei uns wirklich stark vom deutschen Original.; True
 Ich kaufe seit Jahren das deutsche Persil-Pulverkonzentrat – es ist viel günstiger, wäscht besser und hält länger als das polnische.; True
 Polnische Pulver haben nicht geholfen.; True
 Ich wäre besser dran, unser polnisches Persil zu kaufen.; True
 Mir gefällt es nicht, leider kommt es vor, dass deutsches Persil keine Flecken entfernt; True
 Die Deutschen mögen Pulver vom polnischen Typ nicht zu Weiß, in Polen gibt es weniger optische Aufheller als vielmehr blaue „Zafarbiacze“.; True
 Meiner Meinung nach sind die polnischen Wesire ihren deutschen Kollegen nicht gewachsen.; True
 Und ich sehe Unterschiede zwischen Polnisch und Deutsch.; True
 Ich habe 9 kg deutsches Pulver bekommen. Es gibt einen Unterschied zwischen unserem Polnisch und diesem Wunder.; True
Meiner Meinung nach ist das deutsche Pulver (ich habe Persil) immer noch besser als das polnische für Weiß.; True
 Ich muss deutsche und sehr gute Farbpulver kaufen.; True
 Ich bestehe überhaupt nicht auf Deutsch – es kann Polnisch, Französisch oder Israelisch sein – das macht keinen Unterschied.; True
 Die Flecken werden durch den singenden „schlechteren“ polnischen Ariel absolut nicht widerlegt.; True
 Ich wasche schon lange nur noch mit deutschen Pulvern, am liebsten mag ich Persil Megaperls.; True
 Riel, für das man in polnischen Geschäften viel bezahlt und das Pulver nicht einmal frische Flecken reinigt.; True
 Persil ist ein sehr gutes Pulver (ich spreche von deutschen, mit polnischen habe ich keine Erfahrung).; True
 Deutsche Pulver (z. B. das beliebte Tandil) sind fast doppelt so wirksam wie Pulver bekannter Marken.; True
 Westliche Pulver sind konzentrierter – ich schütte weniger in die Waschmaschine – es hält länger.; True
Ein Freund bringt mich aus Deutschland mit – am häufigsten verwende ich Ariel in einem Pulver- oder Gelkonzentrat oder Persil. Es hält länger, es gießt weniger (oder gießt).; True
 Kein polnischer Weichspüler enthalten.; True
 Die Russen denken, dass die Vornehmheit aus Polen viel besser ist als ihre.; True
 Alle westlichen Modelle können mit Fettflecken oder Obst- oder Gemüseflecken nicht umgehen.; True
 Solange ich mich in Billigdeutsch gewaschen habe, war es ok.; True
 Sie glauben nicht an die geringere Qualität des polnischen. Das ist keine Frage des Glaubens.; True
 Die deutsche Chemie ist konzentrierter und das wurde schon oft erklärt.; True
 Lassen Sie mich Ihnen sagen, dass die polnische Chemie eine große SCHEISSE ist.; True
 Deutsch ist für die polnische Chemie wie Tag und Nacht.; True
 Deutsch war besser.; True
 Bei uns ist es schlimmer als bei uns im Westen.; True
 Sinnloses Pulver, besser in Deutschland kaufen.; True
 Polnisch ist meiner Meinung nach schwächer.; True
 Die Deutschen ersticken an ihrem Pulver.; True
Deutsches Pulver, unvergleichliche Waschqualität, weich, fast keine Falten.; True
 Ich werde es auch gerne nutzen, ich habe Persil aus Deutschland mitbringen lassen und leider war es vorbei, es war fantastisch!; True
 Meiner Meinung nach war die polnische Version besser.; True
 Die polnische Qualität war besser.; True
 Ich mag Österreich nicht.; True
 Es ist großartig, ich mag das Polnische.; True
 Super, ich habe Deutsch gekauft, das war es nicht.; True
 In unseren Filialen ist es schlimmer als im Westen.; True
 Besser als hier in polnischen Supermärkten.; True
 Schlechtere deutsche Version.; True
 Besser als das polnische Äquivalent.; True
 Besser als nationale Versionen.; True
 Im Osten sind sie schlimmer.; True
 Ich sehe keinen Sinn darin, bei uns zu kaufen, wenn es im Westen so gut spült.; True
 Aus Österreich ist besser.; True
 Ich mag diese polnische Version des Pulvers nicht.; True
 Ich habe es vor 5 Tagen gekauft, ich bin enttäuscht, in Deutschland ist es besser.; True
 Für mich sind Pulver aus Deutschland und Pulver aus Polen sehr ähnlich. Aber aus Deutschland riecht es besser.; True
Ich empfehle den sofortigen Kauf in Deutschland.; True
 Im Westen kostet es mehr, wäscht aber besser.; True
 Für mich ist Polnisch besser, weil es weniger kostet.; True
 Es gibt einen großen Unterschied, kaufen Sie das deutsche Original, dann wird die Qualität auf dem gleichen Niveau sein.; True
 Zufrieden mit deutscher Qualität.; True
 Das Geschirr wird besonders sauber und trockener als bei der polnischen Variante; True
 Erstens ist es ein guter Thermobecher. Ich habe es vor ein paar Jahren in Deutschland gekauft und da waren die Getränke im Becher definitiv länger warm.; True
 Ich habe bereits einige deutsche Versionen davon und war zufrieden.; True
 Ich habe Tabs zum ersten Mal in den Niederlanden kennengelernt. Im Gegensatz zu Deutschland sind sie überall und besser erhältlich. Die Spülwirkung ist so gut, dass ich den relativ höheren Preis gerne in Kauf nehme. Die Gläser sind ohne Lippenstift und auch der Rand des Kaffees ist inzwischen verschwunden.; True
Rezension aus Österreich, NICHT aus Deutschland! Wir haben zwei Tassen gekauft (schwarz und silber). Im Vergleich zu den beiden alten Bechern halten die österreichischen Thermobecher aus Edelstahl wirklich „viel länger“ die Wärme!!!!; True
 Sehr guter Service, die Beschreibung auf der Verpackung ist auch auf Deutsch. Der Geruch ist angenehm, aber natürlich ist die Wirksamkeit der chemischen Reinigung auch bei knusprigen Rückständen im Gegensatz zu unserem Geschirr perfekt.; True
 Die Thermoskanne kommt aus den USA und ich habe bereits eine weitere Thermoskanne bei Thermos bestellt. So eine gute Thermoskanne für Ausflüge, Kindergarten etc. hatte ich schon lange nicht mehr und kann sie euch wärmstens empfehlen. Im Sommer, in Parks mit Kaltgetränken oder im Urlaub mit Kaltgetränken bleibt es auch lange eisig und alle in der Familie sind wirklich überrascht. Schade, dass in Deutschland ein Hersteller kein so gutes Produkt herstellen kann.; True
Das Produkt ist ein deutsches Produkt. Zumindest ist alles auf Deutsch, als hätte ich es beim Discounter gekauft. Außer dem Geruch sehe ich keine Nachteile.; True
" Ich bin sofort sehr zufrieden mit dem deutschen Gericht. Ich empfehle und kaufe nexte nur wieder ;)"; True
 Wir verwenden seit Jahren deutsche Tablets. Wir waren bisher sehr zufrieden damit. Jetzt haben wir diese Pillen zu einem vermeintlich günstigen Preis bei Amazon gekauft. Leider war das Reinigungsergebnis mehr als schlecht; True
 Hier sind die besten deutschen Spülmaschinentabs. Besser als das Äquivalent in polnischen Drogerien; True
 Leider riecht dieses Waschmittel nicht wie seine westlichen Pendants, wenn man es beispielsweise einzeln in der Flasche verwendet. in Discountern und Drogerien.; True
 Das Waschmittel funktioniert super. Scheint hochwertig und robust zu sein. Großartige Qualität! viel besser als im Osten!; True
 Und ich würde nicht übertreiben, wenn es um Chemie aus Deutschland geht – es ist größtenteils ein Mythos, dass es dort bessere Dinge gibt ...; True
Die nach Westeuropa exportierten Produkte unterschieden sich von den Produkten für den polnischen Markt.; True
 Unsere polnische Fee schnitt nicht so gut ab wie ihr westliches Gegenstück.; True
 Sie werden für die Märkte Ost- und Westeuropas produziert – ersterer unter dem Namen Fairy, letzterer Dreft. Darüber hinaus ist der westliche EU-Markt anspruchsvoller.; True
 Ich empfehle auch Fairy Platinum, ein deutlicher Unterschied zu anderen Tablets. Wenn Sie die Möglichkeit haben, kaufen Sie Tablets aus Deutschland – überprüft, es gibt einen Qualitätsunterschied; True
 Das Produkt in der deutschen Originalverpackung hinterlässt keine Streifen. Ich empfehle; True
 Im deutschen Produktshop und in unseren Filialen wechsle ich zwischen Pulvern und Flüssigkeiten. Ich empfehle deutsches Waschmittel; True
 Ich verwende nur deutsche Chemie, weil sie besser ist; True
 Ich wohne nahe der Grenze und Małżyk und ich fahren für größere „Chemikalien“-Einkäufe nach Deutschland. Ich kann diese Chemie wärmstens empfehlen; True
Ich kaufe beim Herrn, der diese Dinge aus Deutschland bringt, oder kaufe sie selbst, wenn ich dort bin. Ich benutze auch Silan und es gefällt mir.; True
 Pulver für den polnischen Markt sind stärker verdünnt, da polnische Frauen die Angewohnheit haben, mehr Pulver einzuschenken.; True
 Aus Neugier habe ich kürzlich ein Pulver in Österreich gekauft, aber ich sehe, dass sie besser sind als unseres.; True
